Fecha;Hora;P_mm;Q_ls
4/09/2017;1:45 PM;0;18,32284319
4/09/2017;1:50 PM;0;18,51853164
4/09/2017;1:55 PM;0;18,60581125
4/09/2017;2:00 PM;0;18,78610154
4/09/2017;2:05 PM;0;18,64163574
4/09/2017;2:10 PM;0;18,60598744
4/09/2017;2:15 PM;0;18,68496154
4/09/2017;2:20 PM;0;18,67605393
4/09/2017;2:25 PM;0;18,79086101
4/09/2017;2:30 PM;0;19,01889791
4/09/2017;2:35 PM;0;18,85704298
4/09/2017;2:40 PM;0;18,91199626
4/09/2017;2:45 PM;0;18,92579549
4/09/2017;2:50 PM;0;19,00907679
4/09/2017;2:55 PM;0;18,8141839
4/09/2017;3:00 PM;0;19,01130605
4/09/2017;3:05 PM;0;18,92424025
4/09/2017;3:10 PM;0;18,92597611
4/09/2017;3:15 PM;0;18,87567415
4/09/2017;3:20 PM;0;18,9757902
4/09/2017;3:25 PM;0;18,92529796
4/09/2017;3:30 PM;0;18,81331421
4/09/2017;3:35 PM;0;18,92172717
4/09/2017;3:40 PM;0;18,87557502
4/09/2017;3:45 PM;0;18,93417937
4/09/2017;3:50 PM;0;18,93949116
4/09/2017;3:55 PM;0;18,8338042
4/09/2017;4:00 PM;0;18,74086325
4/09/2017;4:05 PM;0;18,85644906
4/09/2017;4:10 PM;0;18,76048902
4/09/2017;4:15 PM;0;18,84167159
4/09/2017;4:20 PM;0;18,79475379
4/09/2017;4:25 PM;0;18,81196958
4/09/2017;4:30 PM;0;18,87307125
4/09/2017;4:35 PM;0;18,95205985
4/09/2017;4:40 PM;0;19,06581765
4/09/2017;4:45 PM;0;18,88557657
4/09/2017;4:50 PM;0;18,91062305
4/09/2017;4:55 PM;0;18,85462342
4/09/2017;5:00 PM;0;18,86057787
4/09/2017;5:05 PM;0;18,96057866
4/09/2017;5:10 PM;0;18,9815999
4/09/2017;5:15 PM;0;18,89251931
4/09/2017;5:20 PM;0;19,00363692
4/09/2017;5:25 PM;0;18,97308603
4/09/2017;5:30 PM;0;18,88589253
4/09/2017;5:35 PM;0;18,99879963
4/09/2017;5:40 PM;0;18,93836956
4/09/2017;5:45 PM;0;18,92764948
4/09/2017;5:50 PM;0;18,9788316
4/09/2017;5:55 PM;0;19,04335038
4/09/2017;6:00 PM;0;18,89275455
4/09/2017;6:05 PM;0;18,81766325
4/09/2017;6:10 PM;0;18,71656978
4/09/2017;6:15 PM;0;18,69957869
4/09/2017;6:20 PM;0;18,40949799
4/09/2017;6:25 PM;0;18,1361511
4/09/2017;6:30 PM;0;17,90578184
4/09/2017;6:35 PM;0;17,7786272
4/09/2017;6:40 PM;0;17,53725785
4/09/2017;6:45 PM;0;17,34875819
4/09/2017;6:50 PM;0;17,17328128
4/09/2017;6:55 PM;0;16,91846991
4/09/2017;7:00 PM;0;16,90803312
4/09/2017;7:05 PM;0;16,45268019
4/09/2017;7:10 PM;0;16,26786787
4/09/2017;7:15 PM;0;15,94551301
4/09/2017;7:20 PM;0;15,98754817
4/09/2017;7:25 PM;0;15,69843073
4/09/2017;7:30 PM;0;15,57715578
4/09/2017;7:35 PM;0;15,31724705
4/09/2017;7:40 PM;0;15,26382162
4/09/2017;7:45 PM;0;15,10582557
4/09/2017;7:50 PM;0;15,01025266
4/09/2017;7:55 PM;0;14,86780771
4/09/2017;8:00 PM;0;14,69997201
4/09/2017;8:05 PM;0;14,58236982
4/09/2017;8:10 PM;0;14,55206341
