Fecha;Hora;P;Q
2017-03-31;17:45;0,8;12,11087468
2017-03-31;17:50;0;11,93455321
2017-03-31;17:55;0;11,98843443
2017-03-31;18:00;0,2;12,23450626
2017-03-31;18:05;0;12,50065273
2017-03-31;18:10;0;13,00528513
2017-03-31;18:15;1;12,63497475
2017-03-31;18:20;0;12,6086369
2017-03-31;18:25;0;12,55870156
2017-03-31;18:30;0,6;12,79826412
2017-03-31;18:35;0;12,79339803
2017-03-31;18:40;0;12,6159217
2017-03-31;18:45;0,2;12,55172048
2017-03-31;18:50;0;12,61943492
2017-03-31;18:55;0;12,47219487
2017-03-31;19:00;0,2;12,44330117
2017-03-31;19:05;0;12,43031233
2017-03-31;19:10;0;12,37143313
2017-03-31;19:15;0;12,20932564
2017-03-31;19:20;0;12,31030346
2017-03-31;19:25;0;12,17437174
2017-03-31;19:30;0;12,18293029
2017-03-31;19:35;0;12,28261037
2017-03-31;19:40;0;12,28600225
2017-03-31;19:45;0;12,07909365
2017-03-31;19:50;0;12,03483006
2017-03-31;19:55;0;12,13218926
2017-03-31;20:00;0,6;12,18042345
2017-03-31;20:05;0;12,12482611
2017-03-31;20:10;0;12,52901989
2017-03-31;20:15;3,4;13,22259345
2017-03-31;20:20;0;13,48282207
2017-03-31;20:25;0;13,71098366
2017-03-31;20:30;2,2;14,53133937
2017-03-31;20:35;0;14,67887773
2017-03-31;20:40;0;14,57339778
2017-03-31;20:45;0,8;15,95710823
2017-03-31;20:50;0;17,22931567
2017-03-31;20:55;0;17,93784653
2017-03-31;21:00;5,2;23,14236863
2017-03-31;21:05;0;34,26339135
2017-03-31;21:10;0;48,46026678
2017-03-31;21:15;14,6;69,5615468
2017-03-31;21:20;0;80,24937993
2017-03-31;21:25;0;85,4136301
2017-03-31;21:30;6,8;83,58506918
2017-03-31;21:35;0;78,31049292
2017-03-31;21:40;0;72,95040757
2017-03-31;21:45;1,2;62,09834156
2017-03-31;21:50;0;55,88278931
2017-03-31;21:55;0;51,35057379
2017-03-31;22:00;1;48,50942046
2017-03-31;22:05;0;45,69303057
2017-03-31;22:10;0;43,02839027
2017-03-31;22:15;0;40,41685716
2017-03-31;22:20;0;38,36297589
2017-03-31;22:25;0;36,6920789
2017-03-31;22:30;0,2;34,78946446
2017-03-31;22:35;0;33,6786514
2017-03-31;22:40;0;32,4974781
2017-03-31;22:45;0;31,27407644
2017-03-31;22:50;0;30,32987954
2017-03-31;22:55;0;29,5784272
2017-03-31;23:00;0,4;28,62758814
2017-03-31;23:05;0;27,99918879
2017-03-31;23:10;0;27,48567056
2017-03-31;23:15;0,6;27,47878385
2017-03-31;23:20;0;26,93119616
2017-03-31;23:25;0;26,39908871
2017-03-31;23:30;0;25,50958216
2017-03-31;23:35;0;25,39209902
2017-03-31;23:40;0;26,35383188
2017-03-31;23:45;0;26,06214402
2017-03-31;23:50;0;25,42620697
2017-03-31;23:55;0;25,10794621
2017-04-01;0:00;0;24,44731288
2017-04-01;0:05;0;24,00210486
2017-04-01;0:10;0;23,74497641
2017-04-01;0:15;0,2;23,49843283
2017-04-01;0:20;0;22,97491756
2017-04-01;0:25;0;22,92589255
2017-04-01;0:30;0,2;22,65130885
2017-04-01;0:35;0;22,66109367
2017-04-01;0:40;0;22,26466735
2017-04-01;0:45;0;21,98682137
2017-04-01;0:50;0;22,12957191
2017-04-01;0:55;0;21,83257067
2017-04-01;1:00;0;21,53936991
2017-04-01;1:05;0;21,85153492
2017-04-01;1:10;0;21,5369213
2017-04-01;1:15;0;21,50545268
2017-04-01;1:20;0;21,0451683
2017-04-01;1:25;0;21,20212539
2017-04-01;1:30;0;21,00600051
2017-04-01;1:35;0;20,82958389
2017-04-01;1:40;0;20,87156834
2017-04-01;1:45;0;20,69828412
2017-04-01;1:50;0;20,41083822
2017-04-01;1:55;0;20,69297092
2017-04-01;2:00;0;20,31150164
2017-04-01;2:05;0;20,31316325
2017-04-01;2:10;0;20,26836099
2017-04-01;2:15;0;20,29080819
2017-04-01;2:20;0;20,22588664
2017-04-01;2:25;0;20,03097853
2017-04-01;2:30;0;19,99475736
2017-04-01;2:35;0;19,91509164
2017-04-01;2:40;0;19,81629432
2017-04-01;2:45;0;19,76293247
2017-04-01;2:50;0;19,6883679
2017-04-01;2:55;0;19,87327174
2017-04-01;3:00;0;19,79949463
2017-04-01;3:05;0;19,75895347
2017-04-01;3:10;0;19,69443553
2017-04-01;3:15;0;19,60777869
2017-04-01;3:20;0;19,30917385
2017-04-01;3:25;0;19,44561174
2017-04-01;3:30;0;19,54175105
2017-04-01;3:35;0;19,36144621
2017-04-01;3:40;0;19,19481992
2017-04-01;3:45;0;19,12016435
2017-04-01;3:50;0;18,98564835
2017-04-01;3:55;0;19,35956808
2017-04-01;4:00;0;19,13772162
2017-04-01;4:05;0;18,95065294
2017-04-01;4:10;0;18,88804509
2017-04-01;4:15;0;18,94831143
2017-04-01;4:20;0;18,88193612
2017-04-01;4:25;0;18,88980991
2017-04-01;4:30;0;18,81970423
2017-04-01;4:35;0;18,63721768
2017-04-01;4:40;0;18,60476196
2017-04-01;4:45;0;18,80041858
2017-04-01;4:50;0;18,71494221
2017-04-01;4:55;0;18,74936951
2017-04-01;5:00;0;18,51907303
2017-04-01;5:05;0;18,60328531
2017-04-01;5:10;0;18,46060291
2017-04-01;5:15;0;18,45151962
2017-04-01;5:20;0;18,61508758
2017-04-01;5:25;0;18,44714922
2017-04-01;5:30;0;18,53192198
2017-04-01;5:35;0;18,3532257
2017-04-01;5:40;0;18,4951812
2017-04-01;5:45;0;18,48815579
2017-04-01;5:50;0;18,38775511
2017-04-01;5:55;0;18,49436017
2017-04-01;6:00;0;18,44262493
2017-04-01;6:05;0;18,22087222
2017-04-01;6:10;0;18,21243414
