Fecha;Hora;T;P_mm;Q_ls
1/02/2017;0:00;1/02/2017 0:00;0;6,700956501
1/02/2017;0:05;1/02/2017 0:05;0;6,602076002
1/02/2017;0:10;1/02/2017 0:10;0;6,613390546
1/02/2017;0:15;1/02/2017 0:15;0;7,338330207
1/02/2017;0:20;1/02/2017 0:20;0;7,318140107
1/02/2017;0:25;1/02/2017 0:25;0;7,284278059
1/02/2017;0:30;1/02/2017 0:30;0;7,21014027
1/02/2017;0:35;1/02/2017 0:35;0;7,318713987
1/02/2017;0:40;1/02/2017 0:40;0;7,293494188
1/02/2017;0:45;1/02/2017 0:45;0;7,251067132
1/02/2017;0:50;1/02/2017 0:50;0;7,255370319
1/02/2017;0:55;1/02/2017 0:55;0;6,64827714
1/02/2017;1:00;1/02/2017 1:00;0;7,268623332
1/02/2017;1:05;1/02/2017 1:05;0;7,313549894
1/02/2017;1:10;1/02/2017 1:10;0;6,614774347
1/02/2017;1:15;1/02/2017 1:15;0;7,3276839
1/02/2017;1:20;1/02/2017 1:20;0;6,665824619
1/02/2017;1:25;1/02/2017 1:25;0;7,339211013
1/02/2017;1:30;1/02/2017 1:30;0;7,337249626
1/02/2017;1:35;1/02/2017 1:35;0;6,626099983
1/02/2017;1:40;1/02/2017 1:40;0;7,300155566
1/02/2017;1:45;1/02/2017 1:45;0;6,584586435
1/02/2017;1:50;1/02/2017 1:50;0;6,636476679
1/02/2017;1:55;1/02/2017 1:55;0;7,253153394
1/02/2017;2:00;1/02/2017 2:00;0;6,62403239
1/02/2017;2:05;1/02/2017 2:05;0;7,300392315
1/02/2017;2:10;1/02/2017 2:10;0;6,668769825
1/02/2017;2:15;1/02/2017 2:15;0;6,588983934
1/02/2017;2:20;1/02/2017 2:20;0;7,329475437
1/02/2017;2:25;1/02/2017 2:25;0;7,335035589
1/02/2017;2:30;1/02/2017 2:30;0;6,591850108
1/02/2017;2:35;1/02/2017 2:35;0;7,301217804
1/02/2017;2:40;1/02/2017 2:40;0;7,280019069
1/02/2017;2:45;1/02/2017 2:45;0;7,221557461
1/02/2017;2:50;1/02/2017 2:50;0;7,308976713
1/02/2017;2:55;1/02/2017 2:55;0;7,196508711
1/02/2017;3:00;1/02/2017 3:00;0;7,338398935
1/02/2017;3:05;1/02/2017 3:05;0;7,190600402
1/02/2017;3:10;1/02/2017 3:10;0;7,25397616
1/02/2017;3:15;1/02/2017 3:15;0;7,21709726
1/02/2017;3:20;1/02/2017 3:20;0;7,288659754
1/02/2017;3:25;1/02/2017 3:25;0;7,214013112
1/02/2017;3:30;1/02/2017 3:30;0;7,253808502
1/02/2017;3:35;1/02/2017 3:35;0;7,271955611
1/02/2017;3:40;1/02/2017 3:40;0;7,17521516
1/02/2017;3:45;1/02/2017 3:45;0;7,31436057
1/02/2017;3:50;1/02/2017 3:50;0;7,228048933
1/02/2017;3:55;1/02/2017 3:55;0;7,266419866
1/02/2017;4:00;1/02/2017 4:00;0;7,146778066
1/02/2017;4:05;1/02/2017 4:05;0;7,175381892
1/02/2017;4:10;1/02/2017 4:10;0;7,126374794
1/02/2017;4:15;1/02/2017 4:15;0;7,241375792
1/02/2017;4:20;1/02/2017 4:20;0;7,31469731
1/02/2017;4:25;1/02/2017 4:25;0;7,13412183
1/02/2017;4:30;1/02/2017 4:30;0;7,252597641
1/02/2017;4:35;1/02/2017 4:35;0;7,315355242
1/02/2017;4:40;1/02/2017 4:40;0;7,18477798
1/02/2017;4:45;1/02/2017 4:45;0;7,152683459
1/02/2017;4:50;1/02/2017 4:50;0;7,167710869
1/02/2017;4:55;1/02/2017 4:55;0;7,143724607
1/02/2017;5:00;1/02/2017 5:00;0;7,179359475
1/02/2017;5:05;1/02/2017 5:05;0;7,188022652
1/02/2017;5:10;1/02/2017 5:10;0;7,060052572
1/02/2017;5:15;1/02/2017 5:15;0;7,103521751
1/02/2017;5:20;1/02/2017 5:20;0;7,267662941
1/02/2017;5:25;1/02/2017 5:25;0;7,172973619
1/02/2017;5:30;1/02/2017 5:30;0;7,104403455
1/02/2017;5:35;1/02/2017 5:35;0;7,14502477
1/02/2017;5:40;1/02/2017 5:40;0;7,062787632
1/02/2017;5:45;1/02/2017 5:45;0;7,061029522
1/02/2017;5:50;1/02/2017 5:50;0;7,162480891
1/02/2017;5:55;1/02/2017 5:55;0;7,032260682
1/02/2017;6:00;1/02/2017 6:00;0;7,176632446
1/02/2017;6:05;1/02/2017 6:05;0;7,102738378
1/02/2017;6:10;1/02/2017 6:10;0;7,090836911
1/02/2017;6:15;1/02/2017 6:15;0;7,069552543
1/02/2017;6:20;1/02/2017 6:20;0;7,089639944
1/02/2017;6:25;1/02/2017 6:25;0;6,983057919
1/02/2017;6:30;1/02/2017 6:30;0;6,968787832
1/02/2017;6:35;1/02/2017 6:35;0;7,056335144
1/02/2017;6:40;1/02/2017 6:40;0;7,021656007
1/02/2017;6:45;1/02/2017 6:45;0;7,009823592
1/02/2017;6:50;1/02/2017 6:50;0;6,929414875
1/02/2017;6:55;1/02/2017 6:55;0;6,933389578
1/02/2017;7:00;1/02/2017 7:00;0;6,905836126
1/02/2017;7:05;1/02/2017 7:05;0;6,932518681
1/02/2017;7:10;1/02/2017 7:10;0;6,966183764
1/02/2017;7:15;1/02/2017 7:15;0;6,916873278
1/02/2017;7:20;1/02/2017 7:20;0;6,822252783
1/02/2017;7:25;1/02/2017 7:25;0;6,870829521
1/02/2017;7:30;1/02/2017 7:30;0;6,812642494
1/02/2017;7:35;1/02/2017 7:35;0;6,840007906
1/02/2017;7:40;1/02/2017 7:40;0;6,824940902
1/02/2017;7:45;1/02/2017 7:45;0;6,63700483
1/02/2017;7:50;1/02/2017 7:50;0;6,839061583
1/02/2017;7:55;1/02/2017 7:55;0;6,724066238
1/02/2017;8:00;1/02/2017 8:00;0;6,775196392
1/02/2017;8:05;1/02/2017 8:05;0;6,803429774
1/02/2017;8:10;1/02/2017 8:10;0;6,774725486
1/02/2017;8:15;1/02/2017 8:15;0;6,728531113
1/02/2017;8:20;1/02/2017 8:20;0;6,710534274
1/02/2017;8:25;1/02/2017 8:25;0;6,715544066
1/02/2017;8:30;1/02/2017 8:30;0;6,664013486
1/02/2017;8:35;1/02/2017 8:35;0;6,701230238
1/02/2017;8:40;1/02/2017 8:40;0;6,696547844
1/02/2017;8:45;1/02/2017 8:45;0;6,664254423
1/02/2017;8:50;1/02/2017 8:50;0;6,65272965
1/02/2017;8:55;1/02/2017 8:55;0;6,651716213
1/02/2017;9:00;1/02/2017 9:00;0;6,64689081
1/02/2017;9:05;1/02/2017 9:05;0;6,604550984
1/02/2017;9:10;1/02/2017 9:10;0;6,630561671
1/02/2017;9:15;1/02/2017 9:15;0;6,707027326
1/02/2017;9:20;1/02/2017 9:20;0;6,573872582
1/02/2017;9:25;1/02/2017 9:25;0;6,650943548
1/02/2017;9:30;1/02/2017 9:30;0;6,761546807
1/02/2017;9:35;1/02/2017 9:35;0;6,804469778
1/02/2017;9:40;1/02/2017 9:40;0;6,638578232
1/02/2017;9:45;1/02/2017 9:45;0;6,674788877
1/02/2017;9:50;1/02/2017 9:50;0;6,816841987
1/02/2017;9:55;1/02/2017 9:55;0;6,770503047
1/02/2017;10:00;1/02/2017 10:00;0;6,866265961
1/02/2017;10:05;1/02/2017 10:05;0;6,894689808
1/02/2017;10:10;1/02/2017 10:10;0;6,750407789
1/02/2017;10:15;1/02/2017 10:15;0;6,942326207
1/02/2017;10:20;1/02/2017 10:20;0;6,994681458
1/02/2017;10:25;1/02/2017 10:25;0;6,961028831
1/02/2017;10:30;1/02/2017 10:30;0;7,074591537
1/02/2017;10:35;1/02/2017 10:35;0;7,100072172
1/02/2017;10:40;1/02/2017 10:40;0;7,046755362
1/02/2017;10:45;1/02/2017 10:45;0;7,201723286
1/02/2017;10:50;1/02/2017 10:50;0;7,076118329
1/02/2017;10:55;1/02/2017 10:55;0;7,210718999
1/02/2017;11:00;1/02/2017 11:00;0;7,305897443
1/02/2017;11:05;1/02/2017 11:05;0;7,215009994
1/02/2017;11:10;1/02/2017 11:10;0;7,324026502
1/02/2017;11:15;1/02/2017 11:15;0;6,677141066
1/02/2017;11:20;1/02/2017 11:20;0;6,702649082
1/02/2017;11:25;1/02/2017 11:25;0;6,6334712
1/02/2017;11:30;1/02/2017 11:30;0;6,762370626
1/02/2017;11:35;1/02/2017 11:35;0;6,87789898
1/02/2017;11:40;1/02/2017 11:40;0;6,936981501
1/02/2017;11:45;1/02/2017 11:45;0;6,976212145
1/02/2017;11:50;1/02/2017 11:50;0;7,125492859
1/02/2017;11:55;1/02/2017 11:55;0;6,969109374
1/02/2017;12:00;1/02/2017 12:00;0;7,023059893
1/02/2017;12:05;1/02/2017 12:05;0;6,969484178
1/02/2017;12:10;1/02/2017 12:10;0;7,109763294
1/02/2017;12:15;1/02/2017 12:15;0;7,119763789
1/02/2017;12:20;1/02/2017 12:20;0;6,950846135
1/02/2017;12:25;1/02/2017 12:25;0;7,053726684
1/02/2017;12:30;1/02/2017 12:30;0;7,140466718
1/02/2017;12:35;1/02/2017 12:35;0;7,141762962
1/02/2017;12:40;1/02/2017 12:40;0;6,85180559
1/02/2017;12:45;1/02/2017 12:45;0;6,996777206
1/02/2017;12:50;1/02/2017 12:50;2,776685542;6,854821113
1/02/2017;12:55;1/02/2017 12:55;6,386376747;6,995147912
1/02/2017;13:00;1/02/2017 13:00;2,499016988;6,830776586
1/02/2017;13:05;1/02/2017 13:05;2,499016988;10,44479253
1/02/2017;13:10;1/02/2017 13:10;0,833005663;15,02278922
1/02/2017;13:15;1/02/2017 13:15;0,555337108;15,41503106
1/02/2017;13:20;1/02/2017 13:20;0,277668554;14,45869993
1/02/2017;13:25;1/02/2017 13:25;0;11,50216089
1/02/2017;13:30;1/02/2017 13:30;0;12,09944904
